#--it-----t--------dt------rhomin----rhomax-----umax------urms-----vAmax-----vArms------brms------bmax------arms------amax------jrms------jmax------orms------omax------divum-----divu2m----ab_int-----jb_int-------abm----
    0    0.000  2.47E-03 1.000E+00 1.000E+00 0.000E+00 0.000E+00 9.465E-01 2.514E-01 2.514E-01 9.465E-01 3.215E-03 1.270E-02 3.724E+01 1.421E+02 0.000E+00 0.000E+00  0.000E+00 0.000E+00  2.549E-05  1.310E-01  1.028E-07
   10    0.020  1.96E-03 6.573E-01 1.380E+00 4.160E-01 7.304E-02 7.991E-01 2.314E-01 2.285E-01 6.648E-01 3.088E-03 1.255E-02 3.032E+01 1.358E+02 1.044E+01 5.410E+01  1.162E-10 5.121E+00  2.527E-05  1.769E-01  1.019E-07
   20    0.039  1.91E-03 7.869E-01 1.222E+00 4.499E-01 9.607E-02 7.309E-01 2.130E-01 2.120E-01 6.708E-01 3.002E-03 1.229E-02 2.658E+01 1.261E+02 1.336E+01 6.555E+01  7.503E-12 4.605E+00  2.500E-05  1.838E-01  1.008E-07
   30    0.058  1.89E-03 8.182E-01 1.241E+00 4.843E-01 1.060E-01 6.472E-01 1.972E-01 1.961E-01 6.130E-01 2.917E-03 1.186E-02 2.425E+01 1.181E+02 1.429E+01 6.702E+01  3.547E-11 3.133E+00  2.482E-05  1.888E-01  1.001E-07
   40    0.077  1.87E-03 8.338E-01 1.231E+00 4.948E-01 1.098E-01 5.988E-01 1.842E-01 1.835E-01 5.696E-01 2.850E-03 1.123E-02 2.275E+01 1.117E+02 1.437E+01 6.990E+01  3.683E-11 2.357E+00  2.467E-05  1.856E-01  9.946E-08
   50    0.096  1.90E-03 8.446E-01 1.168E+00 5.431E-01 1.103E-01 5.815E-01 1.735E-01 1.729E-01 5.581E-01 2.797E-03 1.104E-02 2.160E+01 1.113E+02 1.411E+01 6.776E+01  9.015E-11 1.747E+00  2.455E-05  1.808E-01  9.896E-08
   60    0.115  1.88E-03 8.628E-01 1.147E+00 5.246E-01 1.088E-01 5.841E-01 1.642E-01 1.637E-01 5.660E-01 2.753E-03 1.087E-02 2.063E+01 1.124E+02 1.366E+01 6.991E+01 -8.606E-11 1.396E+00  2.447E-05  1.730E-01  9.866E-08
   70    0.134  1.91E-03 8.714E-01 1.140E+00 5.029E-01 1.063E-01 5.974E-01 1.563E-01 1.559E-01 5.837E-01 2.717E-03 1.062E-02 1.977E+01 1.089E+02 1.314E+01 6.542E+01 -1.864E-11 1.166E+00  2.445E-05  1.659E-01  9.858E-08
   80    0.153  1.97E-03 8.786E-01 1.116E+00 4.758E-01 1.031E-01 6.337E-01 1.493E-01 1.489E-01 6.057E-01 2.688E-03 1.028E-02 1.895E+01 1.026E+02 1.259E+01 5.816E+01  1.705E-11 9.812E-01  2.446E-05  1.636E-01  9.862E-08
   90    0.173  1.98E-03 8.940E-01 1.105E+00 4.585E-01 9.954E-02 6.492E-01 1.429E-01 1.426E-01 6.164E-01 2.662E-03 1.032E-02 1.816E+01 9.231E+01 1.202E+01 5.435E+01  1.978E-11 8.423E-01  2.446E-05  1.681E-01  9.861E-08
  100    0.193  2.01E-03 9.009E-01 1.089E+00 4.400E-01 9.592E-02 6.335E-01 1.372E-01 1.369E-01 6.097E-01 2.640E-03 1.082E-02 1.740E+01 8.945E+01 1.147E+01 5.553E+01  7.458E-11 7.287E-01  2.441E-05  1.727E-01  9.843E-08
  110    0.213  2.02E-03 9.137E-01 1.089E+00 4.187E-01 9.234E-02 6.013E-01 1.320E-01 1.318E-01 5.817E-01 2.620E-03 1.123E-02 1.668E+01 8.568E+01 1.094E+01 5.296E+01 -4.093E-11 6.421E-01  2.434E-05  1.753E-01  9.814E-08
  120    0.233  2.05E-03 9.137E-01 1.085E+00 3.953E-01 8.887E-02 5.663E-01 1.273E-01 1.271E-01 5.534E-01 2.603E-03 1.152E-02 1.598E+01 8.268E+01 1.044E+01 4.806E+01  4.184E-11 5.732E-01  2.425E-05  1.775E-01  9.775E-08
  130    0.254  2.05E-03 9.171E-01 1.069E+00 3.843E-01 8.555E-02 5.357E-01 1.230E-01 1.228E-01 5.271E-01 2.588E-03 1.169E-02 1.533E+01 8.193E+01 9.965E+00 4.647E+01 -2.274E-13 5.167E-01  2.413E-05  1.784E-01  9.728E-08
  140    0.275  2.08E-03 9.201E-01 1.065E+00 3.718E-01 8.242E-02 5.340E-01 1.190E-01 1.188E-01 5.181E-01 2.574E-03 1.171E-02 1.471E+01 8.326E+01 9.522E+00 4.565E+01 -1.501E-11 4.705E-01  2.399E-05  1.798E-01  9.671E-08
  150    0.295  2.08E-03 9.311E-01 1.064E+00 3.750E-01 7.949E-02 5.351E-01 1.153E-01 1.152E-01 5.182E-01 2.561E-03 1.169E-02 1.413E+01 8.224E+01 9.111E+00 4.261E+01  1.637E-11 4.311E-01  2.382E-05  1.788E-01  9.604E-08
  160    0.316  2.10E-03 9.262E-01 1.055E+00 3.654E-01 7.674E-02 5.247E-01 1.119E-01 1.118E-01 5.091E-01 2.549E-03 1.162E-02 1.358E+01 7.933E+01 8.727E+00 3.837E+01  7.230E-11 3.977E-01  2.364E-05  1.748E-01  9.532E-08
  170    0.337  2.13E-03 9.315E-01 1.054E+00 3.520E-01 7.416E-02 5.038E-01 1.088E-01 1.086E-01 4.933E-01 2.538E-03 1.154E-02 1.307E+01 7.613E+01 8.370E+00 3.705E+01 -3.024E-11 3.692E-01  2.346E-05  1.704E-01  9.458E-08
  180    0.359  2.15E-03 9.298E-01 1.058E+00 3.279E-01 7.174E-02 4.776E-01 1.058E-01 1.057E-01 4.665E-01 2.527E-03 1.143E-02 1.258E+01 7.052E+01 8.036E+00 3.628E+01  3.934E-11 3.444E-01  2.327E-05  1.668E-01  9.381E-08
  190    0.380  2.17E-03 9.304E-01 1.052E+00 2.998E-01 6.947E-02 4.519E-01 1.030E-01 1.029E-01 4.465E-01 2.517E-03 1.131E-02 1.213E+01 6.384E+01 7.724E+00 3.623E+01 -1.137E-11 3.228E-01  2.308E-05  1.603E-01  9.304E-08
  200    0.402  2.19E-03 9.355E-01 1.046E+00 2.899E-01 6.735E-02 4.313E-01 1.004E-01 1.003E-01 4.216E-01 2.508E-03 1.129E-02 1.170E+01 5.900E+01 7.434E+00 3.473E+01 -3.365E-11 3.041E-01  2.289E-05  1.536E-01  9.230E-08
  210    0.424  2.22E-03 9.480E-01 1.043E+00 2.769E-01 6.535E-02 4.239E-01 9.796E-02 9.786E-02 4.146E-01 2.499E-03 1.124E-02 1.130E+01 5.864E+01 7.163E+00 3.243E+01  6.662E-11 2.872E-01  2.271E-05  1.485E-01  9.156E-08
  220    0.446  2.24E-03 9.425E-01 1.043E+00 2.723E-01 6.348E-02 4.162E-01 9.564E-02 9.555E-02 4.070E-01 2.490E-03 1.117E-02 1.092E+01 5.800E+01 6.909E+00 3.073E+01 -1.478E-11 2.721E-01  2.253E-05  1.441E-01  9.081E-08
  230    0.469  2.25E-03 9.489E-01 1.041E+00 2.718E-01 6.173E-02 4.079E-01 9.346E-02 9.337E-02 4.009E-01 2.482E-03 1.106E-02 1.057E+01 5.561E+01 6.672E+00 2.964E+01 -3.206E-11 2.588E-01  2.234E-05  1.402E-01  9.006E-08
  240    0.491  2.25E-03 9.479E-01 1.043E+00 2.725E-01 6.009E-02 3.962E-01 9.140E-02 9.132E-02 3.949E-01 2.474E-03 1.093E-02 1.024E+01 5.318E+01 6.452E+00 2.900E+01  5.497E-11 2.466E-01  2.215E-05  1.365E-01  8.931E-08
  250    0.514  2.26E-03 9.528E-01 1.042E+00 2.728E-01 5.855E-02 3.844E-01 8.947E-02 8.940E-02 3.819E-01 2.467E-03 1.082E-02 9.927E+00 5.263E+01 6.246E+00 2.832E+01 -1.592E-11 2.358E-01  2.197E-05  1.325E-01  8.858E-08
  260    0.537  2.26E-03 9.521E-01 1.039E+00 2.606E-01 5.711E-02 3.691E-01 8.765E-02 8.758E-02 3.677E-01 2.460E-03 1.084E-02 9.636E+00 5.185E+01 6.054E+00 2.734E+01 -1.880E-11 2.259E-01  2.180E-05  1.296E-01  8.787E-08
  270    0.559  2.28E-03 9.545E-01 1.040E+00 2.615E-01 5.576E-02 3.691E-01 8.592E-02 8.586E-02 3.671E-01 2.453E-03 1.082E-02 9.362E+00 5.068E+01 5.875E+00 2.595E+01  2.410E-11 2.169E-01  2.162E-05  1.274E-01  8.716E-08
  280    0.582  2.30E-03 9.580E-01 1.039E+00 2.414E-01 5.448E-02 3.700E-01 8.428E-02 8.422E-02 3.685E-01 2.446E-03 1.078E-02 9.102E+00 4.928E+01 5.705E+00 2.600E+01 -4.547E-12 2.086E-01  2.144E-05  1.253E-01  8.644E-08
  290    0.605  2.31E-03 9.561E-01 1.036E+00 2.331E-01 5.327E-02 3.702E-01 8.272E-02 8.266E-02 3.684E-01 2.440E-03 1.083E-02 8.857E+00 4.805E+01 5.546E+00 2.580E+01  7.276E-12 2.010E-01  2.126E-05  1.227E-01  8.571E-08
  300    0.628  2.32E-03 9.549E-01 1.036E+00 2.264E-01 5.212E-02 3.668E-01 8.123E-02 8.117E-02 3.625E-01 2.433E-03 1.087E-02 8.625E+00 4.715E+01 5.395E+00 2.535E+01  2.569E-11 1.938E-01  2.108E-05  1.202E-01  8.498E-08
  310    0.652  2.32E-03 9.575E-01 1.037E+00 2.189E-01 5.103E-02 3.595E-01 7.981E-02 7.976E-02 3.557E-01 2.427E-03 1.092E-02 8.406E+00 4.709E+01 5.253E+00 2.473E+01  4.957E-11 1.873E-01  2.090E-05  1.175E-01  8.425E-08
  320    0.675  2.34E-03 9.600E-01 1.035E+00 2.130E-01 5.000E-02 3.532E-01 7.846E-02 7.841E-02 3.511E-01 2.421E-03 1.097E-02 8.199E+00 4.700E+01 5.119E+00 2.391E+01 -7.958E-12 1.813E-01  2.072E-05  1.145E-01  8.352E-08
  330    0.698  2.33E-03 9.617E-01 1.036E+00 2.072E-01 4.903E-02 3.477E-01 7.718E-02 7.713E-02 3.444E-01 2.415E-03 1.100E-02 8.003E+00 4.645E+01 4.992E+00 2.317E+01 -1.592E-11 1.755E-01  2.054E-05  1.122E-01  8.281E-08
  340    0.722  2.32E-03 9.608E-01 1.034E+00 2.108E-01 4.810E-02 3.422E-01 7.595E-02 7.591E-02 3.400E-01 2.410E-03 1.102E-02 7.817E+00 4.508E+01 4.873E+00 2.244E+01  1.012E-11 1.703E-01  2.037E-05  1.096E-01  8.212E-08
  350    0.745  2.32E-03 9.634E-01 1.034E+00 2.116E-01 4.723E-02 3.357E-01 7.479E-02 7.475E-02 3.333E-01 2.404E-03 1.104E-02 7.643E+00 4.334E+01 4.761E+00 2.186E+01 -5.150E-11 1.654E-01  2.021E-05  1.063E-01  8.146E-08
  360    0.768  2.34E-03 9.616E-01 1.035E+00 2.006E-01 4.640E-02 3.305E-01 7.368E-02 7.364E-02 3.286E-01 2.399E-03 1.105E-02 7.476E+00 4.185E+01 4.654E+00 2.116E+01  3.251E-11 1.608E-01  2.005E-05  1.034E-01  8.083E-08
  370    0.791  2.34E-03 9.658E-01 1.034E+00 2.021E-01 4.560E-02 3.249E-01 7.260E-02 7.257E-02 3.214E-01 2.394E-03 1.107E-02 7.316E+00 4.008E+01 4.551E+00 2.080E+01  5.232E-11 1.564E-01  1.990E-05  1.005E-01  8.022E-08
  380    0.815  2.35E-03 9.630E-01 1.035E+00 2.019E-01 4.483E-02 3.209E-01 7.158E-02 7.154E-02 3.190E-01 2.389E-03 1.106E-02 7.164E+00 3.833E+01 4.454E+00 2.036E+01 -5.844E-11 1.523E-01  1.976E-05  9.739E-02  7.966E-08
  390    0.838  2.35E-03 9.664E-01 1.031E+00 2.071E-01 4.410E-02 3.161E-01 7.059E-02 7.055E-02 3.142E-01 2.384E-03 1.104E-02 7.019E+00 3.717E+01 4.362E+00 2.030E+01 -7.049E-12 1.485E-01  1.963E-05  9.484E-02  7.912E-08
  400    0.862  2.37E-03 9.651E-01 1.033E+00 1.960E-01 4.340E-02 3.110E-01 6.964E-02 6.960E-02 3.109E-01 2.379E-03 1.103E-02 6.880E+00 3.682E+01 4.273E+00 1.972E+01  9.095E-12 1.447E-01  1.950E-05  9.269E-02  7.862E-08
  410    0.886  2.38E-03 9.672E-01 1.032E+00 1.914E-01 4.272E-02 3.061E-01 6.872E-02 6.868E-02 3.057E-01 2.374E-03 1.102E-02 6.746E+00 3.606E+01 4.188E+00 1.900E+01 -6.276E-11 1.413E-01  1.938E-05  9.064E-02  7.813E-08
  420    0.909  2.39E-03 9.682E-01 1.031E+00 1.887E-01 4.207E-02 3.021E-01 6.783E-02 6.779E-02 3.017E-01 2.370E-03 1.100E-02 6.617E+00 3.534E+01 4.106E+00 1.808E+01  2.728E-11 1.380E-01  1.927E-05  8.857E-02  7.767E-08
  430    0.933  2.40E-03 9.672E-01 1.032E+00 1.792E-01 4.145E-02 2.966E-01 6.697E-02 6.694E-02 2.961E-01 2.365E-03 1.097E-02 6.494E+00 3.488E+01 4.028E+00 1.802E+01 -2.678E-11 1.348E-01  1.916E-05  8.656E-02  7.723E-08
  440    0.957  2.40E-03 9.676E-01 1.032E+00 1.733E-01 4.085E-02 2.900E-01 6.614E-02 6.611E-02 2.888E-01 2.361E-03 1.095E-02 6.375E+00 3.454E+01 3.953E+00 1.802E+01 -4.934E-11 1.317E-01  1.906E-05  8.450E-02  7.682E-08
  450    0.981  2.41E-03 9.682E-01 1.031E+00 1.723E-01 4.027E-02 2.869E-01 6.534E-02 6.531E-02 2.859E-01 2.356E-03 1.093E-02 6.261E+00 3.434E+01 3.881E+00 1.797E+01  6.946E-11 1.288E-01  1.896E-05  8.266E-02  7.643E-08
  460    1.006  2.42E-03 9.684E-01 1.031E+00 1.728E-01 3.971E-02 2.839E-01 6.456E-02 6.454E-02 2.836E-01 2.352E-03 1.091E-02 6.152E+00 3.434E+01 3.812E+00 1.767E+01 -5.059E-11 1.260E-01  1.887E-05  8.118E-02  7.606E-08
